Tiempo (s),Posición X (m),Posición Y (m)
1.811158762886598,4.117361111111111,3.089722222222222
1.8279287514318443,4.151388888888889,3.0693055555555553
1.8446987399770904,4.185416666666667,3.0420833333333333
1.8614687285223368,4.219444444444444,3.0216666666666665
1.8782387170675832,4.246666666666666,3.0012499999999998
1.8950087056128293,4.280694444444444,2.9740277777777777
1.9117786941580757,4.307916666666666,2.953611111111111
1.928548682703322,4.34875,2.926388888888889
1.9453186712485682,4.382777777777777,2.8991666666666664
1.9620886597938145,4.41,2.8787499999999997
1.9788586483390607,4.4440277777777775,2.8515277777777777
1.995628636884307,4.484861111111111,2.831111111111111
2.012398625429553,4.518888888888888,2.797083333333333
2.0291686139747998,4.559722222222222,2.7766666666666664
2.045938602520046,4.586944444444444,2.7426388888888886
2.062708591065292,4.620972222222222,2.722222222222222
2.0794785796105386,4.6618055555555555,2.688194444444444
2.0962485681557848,4.702638888888889,2.660972222222222
2.113018556701031,4.743472222222222,2.63375
2.1297885452462775,4.7775,2.6065277777777776
2.1465585337915236,4.818333333333333,2.5793055555555555
2.1633285223367698,4.852361111111111,2.5452777777777778
2.180098510882016,4.893194444444444,2.51125
2.1968684994272625,4.940833333333333,2.4908333333333332
2.2136384879725086,4.974861111111111,2.4568055555555555
2.2304084765177548,5.0088888888888885,2.4227777777777777
2.2471784650630013,5.056527777777777,2.402361111111111
2.2639484536082475,5.0905555555555555,2.368333333333333
2.2807184421534936,5.131388888888889,2.341111111111111
2.29748843069874,5.179027777777778,2.3138888888888887
2.3142584192439863,5.213055555555555,2.2866666666666666
2.3310284077892325,5.253888888888889,2.252638888888889
2.347798396334479,5.301527777777777,2.2254166666666664
2.364568384879725,5.342361111111111,2.1913888888888886
2.3813383734249713,5.39,2.1709722222222223
2.3981083619702175,5.430833333333333,2.1369444444444445
2.414878350515464,5.478472222222222,2.109722222222222
2.43164833906071,5.526111111111111,2.0756944444444443
2.4484183276059563,5.560138888888889,2.0416666666666665
2.465188316151203,5.614583333333333,2.0144444444444445
2.481958304696449,5.662222222222222,1.9804166666666665
2.498728293241695,5.703055555555555,1.9531944444444442
2.515498281786942,5.757499999999999,1.9191666666666665
2.532268270332188,5.811944444444444,1.8851388888888887
2.549038258877434,5.866388888888888,1.8579166666666667
2.5658082474226807,5.907222222222222,1.8238888888888887
2.582578235967927,5.961666666666666,1.7966666666666666
2.599348224513173,6.016111111111111,1.7694444444444444
2.6161182130584195,6.06375,1.7422222222222221
2.6328882016036657,6.1113888888888885,1.7149999999999999
2.649658190148912,6.159027777777777,1.680972222222222
2.666428178694158,6.206666666666666,1.6537499999999998
2.6831981672394045,6.254305555555555,1.619722222222222
2.6999681557846507,6.30875,1.5993055555555555
2.716738144329897,6.363194444444444,1.5720833333333333
2.7335081328751434,6.417638888888889,1.5516666666666665
2.7502781214203895,6.472083333333333,1.53125
2.7670481099656357,6.526527777777777,1.5108333333333333
2.7838180985108822,6.587777777777777,1.4904166666666665
2.8005880870561284,6.6490277777777775,1.483611111111111
2.8173580756013745,6.710277777777778,1.4631944444444445
2.834128064146621,6.771527777777777,1.4495833333333332
